,count,mean,std,min,25%,50%,75%,max,miss
HeartRate,23691.0,109.27411253218521,24.224810596290382,74.0,89.0,109.0,125.0,179.0,0.0
Hand_Temperature,23691.0,32.36231849647545,2.0312352720592,28.25,30.4375,33.625,34.1875,34.5,0.0
Hand_3Dacceleration16_X,23691.0,-5.142020252399907,5.868824087874547,-40.6874,-9.003630000000001,-6.08474,-1.346835,13.0458,0.0
Hand_3Dacceleration16_Y,23691.0,4.793992744716146,4.1729948209992935,-27.0427,2.57895,4.48677,6.61073,58.2222,0.0
Hand_3Dacceleration16_Z,23691.0,3.0278840109838305,4.278766826205995,-28.8125,0.4754785,2.65942,6.361645,32.8328,0.0
Hand_3Dgyroscop_X,23691.0,0.047557097001851296,1.6248201880163065,-13.3847,-0.3706535,0.00036315699999999997,0.4538575,12.229000000000001,0.0
Hand_3Dgyroscop_Y,23691.0,0.048555623940974596,1.1040920520399522,-9.35493,-0.2511895,0.00501956,0.2620885,8.94753,0.0
Hand_3Dgyroscop_Z,23691.0,0.0007677450658540895,1.8117744002046148,-8.32235,-0.6074339999999999,-0.00946539,0.30781400000000003,8.72994,0.0
Hand_3Dmagnetometer_X,23691.0,18.592464078038475,19.093721932345233,-42.136,6.190984999999999,22.0003,33.2999,101.397,0.0
Hand_3Dmagnetometer_Y,23691.0,-17.801685388849144,16.68045939261918,-143.891,-27.3932,-20.4535,-4.0236149999999995,74.3266,0.0
Hand_3Dmagnetometer_Z,23691.0,-22.33817293752307,19.400652960080027,-146.721,-36.653999999999996,-22.5183,-8.521799999999999,78.8277,0.0
Chest_Temperature,23691.0,36.35039149888143,1.6945483105031864,31.9375,35.5,36.9375,37.625,38.1875,0.0
Chest_3Dacceleration16_X,23691.0,0.26977620238101363,1.540545600084764,-9.810989999999999,-0.667114,0.49803800000000004,1.24994,20.8869,0.0
Chest_3Dacceleration16_Y,23691.0,7.548375348180232,4.072927114780937,-9.64301,4.553190000000001,8.52844,9.293115,48.5801,0.0
Chest_3Dacceleration16_Z,23691.0,-4.220780802928535,4.887582138097118,-41.9167,-6.565950000000001,-4.30459,-3.200945,15.4918,0.0
Chest_3Dgyroscop_X,23691.0,0.009674147102997771,0.5933673929902861,-4.17532,-0.14507199999999998,-0.00017219799999999998,0.115732,15.1522,0.0
Chest_3Dgyroscop_Y,23691.0,-0.005033462826621897,0.5446607665319251,-3.3885699999999996,-0.1597035,-0.000369185,0.1405255,3.72244,0.0
Chest_3Dgyroscop_Z,23691.0,-0.004914625679636142,0.44943069681956377,-3.7050099999999997,-0.151637,-0.013561700000000001,0.1547445,2.70392,0.0
Chest_3Dmagnetometer_X,23691.0,3.544380254387297,14.41313955214328,-50.0465,-7.2378149999999986,0.808902,14.09815,57.3609,0.0
Chest_3Dmagnetometer_Y,23691.0,-24.654044026588263,12.03506936364804,-59.5553,-33.24525,-25.0654,-20.76395,27.1432,0.0
Chest_3Dmagnetometer_Z,23691.0,12.940547371765621,17.736719469280157,-28.3897,4.614514999999999,10.0936,28.432949999999998,65.3501,0.0
Ankle_Temperature,23691.0,34.26438046093453,1.2010199070086391,30.125,34.1875,34.6875,35.0,35.4375,0.0
Ankle_3Dacceleration16_X,23691.0,9.619583688987387,6.166939535109802,-41.6872,8.596440000000001,9.6548,10.7481,100.133,0.0
Ankle_3Dacceleration16_Y,23691.0,-0.9911542479885106,6.976565052901427,-130.60399999999998,-2.592465,-1.45604,0.5316565,113.76700000000001,0.0
Ankle_3Dacceleration16_Z,23691.0,-1.612173894468624,3.5792486058238064,-110.65,-2.572785,-1.5238,-0.575453,80.4301,0.0
Ankle_3Dgyroscop_X,23691.0,-0.036192041108479546,1.1324942997557956,-8.731860000000001,-0.3022855,-0.00272037,0.12090199999999998,10.7559,0.0
Ankle_3Dgyroscop_Y,23691.0,-0.051806567660093575,0.6697420419068951,-5.2445,-0.09525460000000002,-0.00515507,0.1697325,4.81778,0.0
Ankle_3Dgyroscop_Z,23691.0,-0.005081248823172524,2.003500962062571,-11.1332,-0.6764224999999999,-0.0051731,0.08340329999999999,11.0157,0.0
Ankle_3Dmagnetometer_X,23691.0,-28.76463428626062,13.292055835518282,-103.711,-38.73245,-32.3124,-18.16415,45.7574,0.0
Ankle_3Dmagnetometer_Y,23691.0,1.1761748449157934,16.961053899531795,-52.0419,-12.85365,-0.622525,14.1071,65.3865,0.0
Ankle_3Dmagnetometer_Z,23691.0,17.145725003614444,17.22813620428853,-60.2462,2.530655,19.9856,33.3607,138.16299999999998,0.0
