,count,mean,std,min,25%,50%,75%,max,miss
HeartRate,15841.0,94.98579635124045,21.93475720166782,68.0,79.0,86.0,115.0,156.0,0.0
Hand_Temperature,15841.0,31.893523925257245,1.0355689759610436,28.6875,31.375,32.0625,32.6875,33.25,0.0
Hand_3Dacceleration16_X,15841.0,-4.485348196006261,6.474610241063261,-41.8381,-8.95257,-4.84322,-0.626921,16.9245,0.0
Hand_3Dacceleration16_Y,15841.0,4.379150322217653,3.650455446178515,-22.4763,2.42617,4.04315,7.125789999999999,38.4807,0.0
Hand_3Dacceleration16_Z,15841.0,3.644823469143668,3.616067865545574,-20.5831,1.34788,3.86536,6.33211,41.3312,0.0
Hand_3Dgyroscop_X,15841.0,0.005792916448088489,1.3630416064084674,-12.290999999999999,-0.298614,-0.00698296,0.346911,11.0996,0.0
Hand_3Dgyroscop_Y,15841.0,-0.0238441278204198,1.0693541781467786,-5.7758400000000005,-0.215979,0.00972955,0.21652600000000002,6.60128,0.0
Hand_3Dgyroscop_Z,15841.0,-0.04661632189472242,1.5874663066064845,-11.1629,-0.172748,-0.00448788,0.242623,9.23265,0.0
Hand_3Dmagnetometer_X,15841.0,16.641532452229622,17.761011941203872,-37.7297,2.45161,10.5712,32.0283,103.005,0.0
Hand_3Dmagnetometer_Y,15841.0,-14.461599895449153,18.70628443818807,-117.05,-25.6869,-15.1359,-3.2852900000000003,69.2449,0.0
Hand_3Dmagnetometer_Z,15841.0,-23.525017546312874,17.155395611786265,-110.93700000000001,-35.9115,-24.5862,-10.9121,41.9299,0.0
Chest_Temperature,15841.0,35.79629600404015,1.1114291121243962,33.0,35.0,36.125,36.75,37.0625,0.0
Chest_3Dacceleration16_X,15841.0,-0.11178321452071888,1.722588060446467,-9.38388,-1.11379,0.23694099999999998,0.995151,7.8631199999999986,0.0
Chest_3Dacceleration16_Y,15841.0,8.138206806662447,4.01463741527903,-3.47705,7.18138,9.333680000000001,9.70438,40.9666,0.0
Chest_3Dacceleration16_Z,15841.0,0.6301189034319096,4.321283613214563,-18.6488,-1.8712900000000001,0.6635949999999999,2.80747,12.3772,0.0
Chest_3Dgyroscop_X,15841.0,0.003588685939409801,0.2614908424165424,-1.99973,-0.0593174,0.00150436,0.0670272,3.2806300000000004,0.0
Chest_3Dgyroscop_Y,15841.0,-0.0063471746235622805,0.5197332226425073,-3.89255,-0.0908081,-0.00191779,0.09941839999999999,4.50157,0.0
Chest_3Dgyroscop_Z,15841.0,-0.023849776261843363,0.23705794122103618,-1.61158,-0.0767995,-0.0159468,0.0494577,1.8156700000000001,0.0
Chest_3Dmagnetometer_X,15841.0,7.255097011617992,13.667555019982464,-36.8734,-2.30563,4.185309999999999,14.0822,46.1725,0.0
Chest_3Dmagnetometer_Y,15841.0,-24.47015038185727,13.908120543469334,-62.7328,-33.0886,-27.7287,-18.7705,10.5421,0.0
Chest_3Dmagnetometer_Z,15841.0,-3.4731271608774614,14.737781134743917,-35.185,-10.8674,-7.27735,7.28337,40.404,0.0
Ankle_Temperature,15841.0,33.52710924184079,0.937722342950573,31.125,32.9375,33.75,34.375,34.625,0.0
Ankle_3Dacceleration16_X,15841.0,9.138944093848869,5.272545915900168,-21.9805,9.0325,9.67784,9.89524,65.8328,0.0
Ankle_3Dacceleration16_Y,15841.0,-1.109948048375926,6.691764589696596,-49.6746,-3.7384,-0.246658,0.660497,122.59299999999999,0.0
Ankle_3Dacceleration16_Z,15841.0,-1.4568273122563826,3.971295033525025,-158.83,-2.26713,-1.0715700000000001,0.514455,43.5279,0.0
Ankle_3Dgyroscop_X,15841.0,-0.005033571850264543,0.9107700667564335,-8.08051,-0.0746383,0.00868327,0.054621699999999995,9.62117,0.0
Ankle_3Dgyroscop_Y,15841.0,-0.033486637942242374,0.545775551401167,-3.0157,-0.128415,-0.00993568,0.0330131,5.10124,0.0
Ankle_3Dgyroscop_Z,15841.0,0.02514030022081616,1.5969417951155844,-5.91615,-0.134702,-0.00118524,0.0340106,8.4305,0.0
Ankle_3Dmagnetometer_X,15841.0,-24.76482601114444,14.210289669851056,-80.6671,-36.0249,-22.79300000000001,-13.8956,58.6584,0.0
Ankle_3Dmagnetometer_Y,15841.0,3.9811757861668906,15.913397462558276,-82.1752,-4.43505,0.31901,18.088,65.248,0.0
Ankle_3Dmagnetometer_Z,15841.0,17.880024264038823,16.5078844234064,-46.1748,9.25677,20.6916,28.5875,91.2684,0.0
