,ActivityID,HeartRate,Hand_Temperature,Hand_3Dacceleration16_X,Hand_3Dacceleration16_Y,Hand_3Dacceleration16_Z,Hand_3Dgyroscop_X,Hand_3Dgyroscop_Y,Hand_3Dgyroscop_Z,Hand_3Dmagnetometer_X,Hand_3Dmagnetometer_Y,Hand_3Dmagnetometer_Z,Chest_Temperature,Chest_3Dacceleration16_X,Chest_3Dacceleration16_Y,Chest_3Dacceleration16_Z,Chest_3Dgyroscop_X,Chest_3Dgyroscop_Y,Chest_3Dgyroscop_Z,Chest_3Dmagnetometer_X,Chest_3Dmagnetometer_Y,Chest_3Dmagnetometer_Z,Ankle_Temperature,Ankle_3Dacceleration16_X,Ankle_3Dacceleration16_Y,Ankle_3Dacceleration16_Z,Ankle_3Dgyroscop_X,Ankle_3Dgyroscop_Y,Ankle_3Dgyroscop_Z,Ankle_3Dmagnetometer_X,Ankle_3Dmagnetometer_Y,Ankle_3Dmagnetometer_Z
4268,10,92,29,-9.37218,2.64251,1.54575,0.06738639999999999,-0.015341399999999996,-0.00522647,27.5057,7.721039999999999,-14.765,31.125,1.41503,9.50301,-0.505049,-0.0217406,-0.0236945,0.0146484,15.213,-25.4145,8.41977,29.5625,9.56498,-0.498082,-2.30755,-0.00303414,-0.00139632,0.0106486,-21.5226,-18.7461,-32.6854
4279,10,92,29,-9.48288,2.8334200000000003,1.5819299999999998,-0.190168,0.0586433,-0.0981176,27.0149,7.74671,-15.5516,31.125,1.40877,9.72737,-0.738217,-0.107385,0.0953265,-0.102625,14.7017,-25.6535,8.41757,29.5625,9.5947,-0.49607,-2.5773900000000003,0.0303341,-0.047576,-0.0149043,-22.4194,-18.5726,-32.6887
4290,10,92,29,-9.32209,2.30446,1.971,0.242682,-0.241897,0.036542800000000014,26.6418,7.76662,-15.5509,31.125,1.0728,9.8053,-0.512231,-0.0593827,-0.0298289,-0.0412202,14.8398,-25.658,7.854539999999999,29.5625,9.63633,-0.535561,-2.42236,-0.0209947,-0.0314548,0.0260742,-21.787,-18.6058,-33.2538
4301,10,92,29,-9.2007,2.3056,2.2037400000000003,-0.282613,-0.265104,0.0464806,26.8922,7.6291600000000015,-15.5506,31.125,1.00095,9.73127,-0.35840900000000003,-0.0750707,-0.110695,0.0485069,14.8416,-25.0125,7.145860000000001,29.5625,9.63543,-0.497271,-2.46119,-0.016903400000000002,-0.00683295,-0.0107079,-22.2816,-18.8357,-32.2625
4312,10,92,29,-9.83857,2.0087200000000003,2.38762,0.410746,-0.200742,-0.033466199999999995,27.2803,6.987430000000002,-16.3349,31.125,1.2264,9.80509,-0.4707270000000001,-0.0657545,-0.0254408,0.0498753,14.8491,-25.6578,7.29058,29.5625,9.67195,-0.4592189999999999,-2.4996400000000003,-0.042061400000000006,0.00474009,-0.00121267,-21.9019,-18.9851,-32.8283
4323,10,92,29,-8.5508,3.17357,2.24903,-0.994688,-0.15426900000000002,-0.266741,26.4147,7.1572,-17.1216,31.125,1.11529,9.73092,-0.356336,-0.0468425,-0.0179351,0.011578,14.7264,-25.1365,6.44074,29.5625,9.5995,-0.421418,-2.4234400000000003,-0.0387778,0.00131773,-0.00596255,-22.1698,-18.4572,-32.9717
4334,10,91,29,-8.61682,1.56637,0.675484,1.21505,-0.273716,-0.0403582,25.925,6.93479,-17.6441,31.125,0.972181,9.80877,-0.0494141,-0.0269073,-0.0486757,-0.00417208,14.3287,-24.9935,7.0011800000000015,29.5625,9.55637,-0.457544,-2.61661,-0.0147793,-0.0199478,-0.0139762,-21.9268,-17.9547,-33.1132
4345,10,91,29,-9.32128,2.22892,2.00975,0.280215,0.0774984,-0.289402,25.6584,7.942139999999998,-17.1248,31.125,1.10863,9.80467,-0.589022,-0.00046153,-0.06638569999999999,0.0189611,14.4697,-25.6433,6.86485,29.5625,9.51945,-0.571533,-2.57769,-0.00919611,0.0176692,0.0242027,-22.4198,-18.7022,-32.9723
4355,10,91,29,-8.64028,6.45579,0.0813273,1.48677,0.0540862,-0.0629936,25.0666,6.7317,-18.691,31.125,1.04175,9.88229,-0.280718,0.0194727,0.019624400000000004,-0.0106449,14.8538,-25.6577,7.0086,29.5625,9.70957,-0.421487,-2.49949,-0.0391621,0.0427236,-0.0103017,-21.8886,-19.7591,-33.111
4366,10,91,29,-10.1975,1.86491,2.96004,-0.30737,0.241354,-0.0695177,24.9301,7.235819999999999,-18.0376,31.125,1.22402,9.76692,-0.548088,0.017906799999999997,0.00493311,0.0210263,14.8565,-25.5285,6.72588,29.5625,9.71197,-0.384161,-2.42252,0.0301303,-0.00266387,0.00363432,-21.8988,-18.9844,-32.5446
