,count,mean,std,min,25%,50%,75%,max,miss
HeartRate,22590.0,121.96454183266933,26.524246288124974,78.0,100.0,123.0,137.0,183.0,0.0
Hand_Temperature,22590.0,32.429537405931825,1.1195051253380557,30.1875,31.5625,32.625,33.375,33.875,0.0
Hand_3Dacceleration16_X,22590.0,-4.1218345856649625,6.726206682278806,-42.7707,-8.2384325,-3.8773550000000006,0.75106175,11.8073,0.0
Hand_3Dacceleration16_Y,22590.0,5.820877033959857,5.898735567809678,-22.3637,3.1227350000000005,5.220335,7.909262499999999,92.053,0.0
Hand_3Dacceleration16_Z,22590.0,3.758207539112688,3.727673882107653,-19.1409,1.571655,3.8692849999999996,6.274365,65.3027,0.0
Hand_3Dgyroscop_X,22590.0,0.05488704240283226,1.1394213993589213,-8.67331,-0.369608,0.001306215,0.4016565,15.9619,0.0
Hand_3Dgyroscop_Y,22590.0,0.06763361715140086,0.9645274841766578,-6.7111199999999975,-0.22794525000000002,0.010367999999999999,0.3302005,6.05048,0.0
Hand_3Dgyroscop_Z,22590.0,0.0035534374888769476,1.9331000825704914,-10.6088,-0.498383,-0.00552105,0.4605,9.36345,0.0
Hand_3Dmagnetometer_X,22590.0,18.300392207967086,34.850479342151516,-74.6223,-9.8058925,19.702150000000003,48.5587,133.17,0.0
Hand_3Dmagnetometer_Y,22590.0,-26.874915769622458,30.028686187663556,-158.08,-47.49917500000001,-30.266,-9.9116675,93.0448,0.0
Hand_3Dmagnetometer_Z,22590.0,-28.154278415991403,28.942821429611794,-163.766,-51.348025,-30.043750000000003,-6.193297500000001,99.8957,0.0
Chest_Temperature,22590.0,35.233053895529,1.3849783648019691,32.1875,33.9375,35.25,36.6875,37.25,0.0
Chest_3Dacceleration16_X,22590.0,0.36253662985699353,1.988725771775362,-15.7582,-0.50440525,0.44982999999999995,1.020465,14.5748,0.0
Chest_3Dacceleration16_Y,22590.0,7.8569317654503275,5.697809609747967,-17.1674,4.9767925,8.95899,9.732657499999998,100.21,0.0
Chest_3Dacceleration16_Z,22590.0,-2.4664414464413484,4.865319332079726,-46.5999,-5.1966725,-2.10853,-0.955763,16.7479,0.0
Chest_3Dgyroscop_X,22590.0,0.004639888932696315,0.537880753746075,-3.05952,-0.1334045,-0.0010608150000000001,0.10658150000000004,8.496830000000001,0.0
Chest_3Dgyroscop_Y,22590.0,0.00607381522700004,0.6001915359198693,-4.13241,-0.12831325,-0.002090485,0.16026025,3.71544,0.0
Chest_3Dgyroscop_Z,22590.0,-0.02320749852315331,0.3456966707012866,-2.22663,-0.1502425,-0.0173127,0.087114975,1.83158,0.0
Chest_3Dmagnetometer_X,22590.0,0.47698931144974777,25.517195236327428,-69.6172,-20.719025000000002,0.425195,18.557025,77.3003,0.0
Chest_3Dmagnetometer_Y,22590.0,-44.27755697562175,24.369682832685434,-122.48,-60.21205,-54.19965,-35.074175,34.6566,0.0
Chest_3Dmagnetometer_Z,22590.0,7.870372279829115,32.90560408015684,-66.4284,-12.325475,13.53035,31.3995,96.1022,0.0
Ankle_Temperature,22590.0,33.66315571049137,0.9878597763420589,30.75,33.125,33.8125,34.5,35.0,0.0
Ankle_3Dacceleration16_X,22590.0,9.076843994897352,6.831137347551293,-35.7312,7.238774999999999,9.501095,10.302724999999999,121.304,0.0
Ankle_3Dacceleration16_Y,22590.0,0.6335388280143033,8.552977231536262,-155.356,-2.2207399999999997,0.22148600000000002,2.64205,155.799,0.0
Ankle_3Dacceleration16_Z,22590.0,-2.6446797170929695,4.123993389761306,-80.9875,-4.223755,-2.110245,-0.744995,74.1218,0.0
Ankle_3Dgyroscop_X,22590.0,-0.0014370918663876187,1.0147990185284028,-9.326889999999999,-0.24471299999999999,-0.0008747435,0.0978398,9.0681,0.0
Ankle_3Dgyroscop_Y,22590.0,0.01221918068612131,0.6336827220384011,-7.324839999999999,-0.055451525,0.00527704,0.21706899999999998,6.41038,0.0
Ankle_3Dgyroscop_Z,22590.0,0.005604852925005779,1.949734408897003,-11.5397,-0.4441922500000001,-0.004333765,0.08476714999999999,9.26324,0.0
Ankle_3Dmagnetometer_X,22590.0,-49.4614493796676,26.294133345254988,-172.236,-63.84405,-52.70775,-30.002425,82.8188,0.0
Ankle_3Dmagnetometer_Y,22590.0,-3.770157074509086,32.25317772690212,-135.60399999999998,-28.886325,-5.804235,23.225675,90.4781,0.0
Ankle_3Dmagnetometer_Z,22590.0,13.50782907425182,30.607738053008813,-100.86399999999999,-6.7557125,15.77785,37.488975,121.229,0.0
